PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
[CH3-]	101396784	LGRLWUINFJPLSH-VVKOMZTBSA-N	CH3-	17.033
C=C[C-]=C=[CH+]	101397740	VPUGMIPQHRRPOU-UHFFFAOYSA-N	C5H4	64.087
C1=CC=[C+]C=C1	101401123	UEDBHEFYEKZZBA-RALIUCGRSA-N	C6H5+	82.137
C[C-]=C=[CH+]	101419690	ZENAAJBJJLXKNL-UHFFFAOYSA-N	C4H4	52.076
C[CH2+]	101448790	YQHHCMVUMULAPZ-QDNHWIQGSA-N	C2H5+	31.074
[CH]=CC=CC=O	101449423	ZMKDIXNSHZUDML-AWDYEUGKSA-N	C5H5O	82.086
[C-]=CC=[C+]	101455066	AHKWUYZWXUVSMX-UHFFFAOYSA-N	C4H2	50.06
[CH]=CC=[C+]	101455067	FMXFYUGQUYWQHS-UHFFFAOYSA-N	C4H3+	51.068
C=C([CH2])C=O	101593930	WJCFNDBWNOZYRK-UHFFFAOYSA-N	C4H5O	69.083
[CH2-]C=[CH-]	101686259	JDCMKKRIWAMDCQ-UHFFFAOYSA-N	C3H4-2	40.065
[CH3+]	101703762	JUHDUIDUEUEQND-KQORAOOSSA-N	CH3+	19.046
C=[OH+]	101703766	WSFSSNUMVMOOMR-OUBTZVSYSA-O	CH3O+	32.026
[CH]=O	101713958	CFHIDWOYWUOIHU-OUBTZVSYSA-N	CHO	30.01
CC1=C=CC=C=C1	101717991	LLOWGZCOTCVLKS-UHFFFAOYSA-N	C7H6	90.125
C=C[C+]	101735602	GJNXTTRLGNYTET-UHFFFAOYSA-N	C3H3+	39.057
[CH2-]C[CH2+]	101742994	CUJPFPXNDSIBPG-MXVPOEFYSA-N	C3H6	47.098
CC=C	101742996	QQONPFPTGQHPMA-JUUSPRGMSA-N	C3H6	47.098
CC[CH]	101742998	OSFBJERFMQCEQY-KLBOVNNQSA-N	C3H6	47.098
CC=C	101742999	QQONPFPTGQHPMA-VQICBYEYSA-N	C3H6	47.098
C=C[CH2]	101751805	RMRFFCXPLWYOOY-WFVSFCRTSA-N	C3H5	42.079
C1=CC=[C+]C=C1	101757646	UEDBHEFYEKZZBA-QYKNYGDISA-N	C6H5+	78.112
C1=CC=[C+]C=C1	101757647	UEDBHEFYEKZZBA-VMNATFBRSA-N	C6H5+	78.112
C1=CC=[C+]C=C1	101757648	UEDBHEFYEKZZBA-MICDWDOJSA-N	C6H5+	78.112
C1=CC=[C+]C=C1	101757649	UEDBHEFYEKZZBA-DRSKVUCWSA-N	C6H5+	79.118
C1=CC=[C+]C=C1	101757650	UEDBHEFYEKZZBA-QDNHWIQGSA-N	C6H5+	79.118
C1=CC=[C+]C=C1	101757651	UEDBHEFYEKZZBA-PBNXXWCMSA-N	C6H5+	79.118
C1=CC=[C+]C=C1	101757652	UEDBHEFYEKZZBA-GSUVGXDCSA-N	C6H5+	79.118
C1=CC=[C+]C=C1	101757653	UEDBHEFYEKZZBA-KFRNQKGQSA-N	C6H5+	79.118
C1=CC=[C+]C=C1	101757654	UEDBHEFYEKZZBA-XRIVEGAOSA-N	C6H5+	79.118
[CH]=CC=CC=O	101758236	ZMKDIXNSHZUDML-ONEGZZNKSA-N	C5H5O	81.094
CC=C	101844114	QQONPFPTGQHPMA-APVUKCKTSA-N	C3H6	47.112
C1=CC=C=C=C1	101987408	KLYCPFXDDDMZNQ-MPOCSFTDSA-N	C6H4	78.083
C	101988841	VNWKTOKETHGBQD-TVNFCSRNSA-N	CH4	17.038
[CH2-]C(=C)[CH2]	101990697	OBLCDUZYKNXFOL-UHFFFAOYSA-N	C4H6-	54.092
C1=[C-]C=[C+]C=[C-]1	101992571	KDRPOKHNNAUTNQ-UHFFFAOYSA-N	C6H3-	75.09
C=O	101995930	WSFSSNUMVMOOMR-CRWWGTSDSA-N	CH2O	31.014
C1=CC=[C]C=C1	102005665	CIUQDSCDWFSTQR-PAEVPXJKSA-N	C6H5	87.146
C=C[CH2]	102007977	RMRFFCXPLWYOOY-UXXIZXEISA-N	C3H5	46.104
C[C]=C=C=C	102012138	UTXMQJWHLQQRGK-UHFFFAOYSA-N	C5H5	65.095
CC[C]=O	102017089	UFUASNAHBMBJIX-FIBGUPNXSA-N	C3H5O	60.09
CC[C]=O	102017090	UFUASNAHBMBJIX-CBTSVUPCSA-N	C3H5O	59.084
[CH-]=CC=[CH-]	102023416	KNDSQMURPUHGHL-UHFFFAOYSA-N	C4H4-2	52.076
C=[C+]CC=[CH+]	102044099	LBGAQKSVKRHTJG-UHFFFAOYSA-N	C5H6+2	66.103
[CH-]=CC=CC=[CH-]	102056785	COFQJGRAXGGNLI-AATRIKPKSA-N	C6H6-2	78.114
C1=C[C-]=C[C]=C1	102062276	JBVNPTSNPLFKFS-UHFFFAOYSA-N	C6H4-	76.098
[CH-]1C=C=CC=[C]1	102062277	GZJSXDTTWZQEEY-UHFFFAOYSA-N	C6H4-	76.098
C=C	102090023	VGGSQFUCUMXWEO-CKAPDXAHSA-N	C2H4	32.051
C1C=C[CH-]C=[C+]1	102120293	TUYKVBXDRNLIRO-UHFFFAOYSA-N	C6H6	78.114
CC(=[CH])C=O	102145218	KRQIKTHXXONBEW-UHFFFAOYSA-N	C4H5O	69.083
